	ID	POEM_NUMBER	POEM_TITLE	STANZA	LINE_NUMBER	LINE_IN_SOURCE	LINE	RHYMEWORD	RHYME	RECONSTRUCTION	COMMENT	PROBLEMS	SPLIT_LINE	ALIGNMENT	RHYMEIDS	LENGTH
4041	4042	200	巷伯	200.6	2	誰適與a[miuə]謀。	誰適與謀	謀	200.6a	miuə			誰 + 適 + 與 + 謀	誰 + 適 + 與 + 謀	0 0 0 1009	4
4043	4044	200	巷伯	200.6	2	投畀豺a[xa]虎。（鱼之合韵）	投畀豺虎	虎	200.6a	xa	鱼之合韵		投 + 畀 + 豺 + 虎	投 + 畀 + 豺 + 虎	0 0 0 1009	4
4044	4045	200	巷伯	200.6	1	豺虎不b[djiək]食	豺虎不食	食	200.6b	djiək			豺 + 虎 + 不 + 食	豺 + 虎 + 不 + 食	0 0 0 1010	4
4045	4046	200	巷伯	200.6	2	投畀有b[pək]北。（职部）	投畀有北	北	200.6b	pək	职部		投 + 畀 + 有 + 北	投 + 畀 + 有 + 北	0 0 0 1010	4
4046	4047	200	巷伯	200.6	1	有北不c[zjiu]受	有北不受	受	200.6c	zjiu			有 + 北 + 不 + 受	有 + 北 + 不 + 受	0 0 0 1011	4
4047	4048	200	巷伯	200.6	2	投畀有c[hu]昊。（幽部）	投畀有昊	昊	200.6c	hu	幽部		投 + 畀 + 有 + 昊	投 + 畀 + 有 + 昊	0 0 0 1011	4
4049	4050	200	巷伯	200.7	2	猗于畝a[khiuə]丘。	猗于畝丘	丘	200.7a	khiuə			猗 + 于 + 畝 + 丘	猗 + 于 + 畝 + 丘	0 0 0 1012	4
4051	4052	200	巷伯	200.7	2	作為此a[sjiə]詩。	作為此詩	詩	200.7a	sjiə			作 + 為 + 此 + 詩	作 + 為 + 此 + 詩	0 0 0 1012	4
4053	4054	200	巷伯	200.7	2	敬而聽a[tjiə]之。（之部）	敬而聽之	之	200.7a	tjiə	之部		敬 + 而 + 聽 + 之	敬 + 而 + 聽 + 之	0 0 0 1012	4
4055	4056	201	谷風	201.1	2	維風及a[hiua]雨。	維風及雨	雨	201.1a	hiua			維 + 風 + 及 + 雨	維 + 風 + 及 + 雨	0 0 0 1013	4
4057	4058	201	谷風	201.1	2	維予與a[njia]女。	維予與女	女	201.1a	njia			維 + 予 + 與 + 女	維 + 予 + 與 + 女	0 0 0 1013	4
4059	4060	201	谷風	201.1	2	女轉棄a[jia]予。（鱼部）	女轉棄予	予	201.1a	jia	鱼部		女 + 轉 + 棄 + 予	女 + 轉 + 棄 + 予	0 0 0 1013	4
4061	4062	201	谷風	201.2	2	維風及a[duəi]頹。	維風及頹	頹	201.2a	duəi			維 + 風 + 及 + 頹	維 + 風 + 及 + 頹	0 0 0 1014	4
4063	4064	201	谷風	201.2	2	寘予于a[hoəi]懷。	寘予于懷	懷	201.2a	hoəi			寘 + 予 + 于 + 懷	寘 + 予 + 于 + 懷	0 0 0 1014	4
4065	4066	201	谷風	201.2	2	棄予如a[jiuəi]遺。（微部）	棄予如遺	遺	201.2a	jiuəi	微部		棄 + 予 + 如 + 遺	棄 + 予 + 如 + 遺	0 0 0 1014	4
4067	4068	201	谷風	201.3	2	維山崔a[nguəi]嵬。	維山崔嵬	嵬	201.3a	nguəi			維 + 山 + 崔 + 嵬	維 + 山 + 崔 + 嵬	0 0 0 1015	4
4069	4070	201	谷風	201.3	2	無木不a[iuəi]萎。	無木不萎	萎	201.3a	iuəi			無 + 木 + 不 + 萎	無 + 木 + 不 + 萎	0 0 0 1015	4
4071	4072	201	谷風	201.3	2	思我小a[iuan]怨。18 （微元合韵）	思我小怨	怨	201.3a	iuan	微元合韵		思 + 我 + 小 + 怨	思 + 我 + 小 + 怨	0 0 0 1015	4
4073	4074	202	蓼莪	202.1	2	匪莪伊a[xô]蒿。	匪莪伊蒿	蒿	202.1a	xô			匪 + 莪 + 伊 + 蒿	匪 + 莪 + 伊 + 蒿	0 0 0 1016	4
4075	4076	202	蓼莪	202.1	2	生我劬a[lô]勞。（宵部）	生我劬勞	勞	202.1a	lô	宵部		生 + 我 + 劬 + 勞	生 + 我 + 劬 + 勞	0 0 0 1016	4
4077	4078	202	蓼莪	202.2	2	匪莪伊a[iuət]蔚。	匪莪伊蔚	蔚	202.2a	iuət			匪 + 莪 + 伊 + 蔚	匪 + 莪 + 伊 + 蔚	0 0 0 1017	4
4079	4080	202	蓼莪	202.2	2	生我勞a[dziuət]瘁。（物部）	生我勞瘁	瘁	202.2a	dziuət	物部		生 + 我 + 勞 + 瘁	生 + 我 + 勞 + 瘁	0 0 0 1017	4
4081	4082	202	蓼莪	202.3	2	維罍之a[thiə]恥。	維罍之恥	恥	202.3a	thiə			維 + 罍 + 之 + 恥	維 + 罍 + 之 + 恥	0 0 0 1018	4
4083	4084	202	蓼莪	202.3	2	不如死之a[kiuə]久矣。	不如死之久矣	久	202.3a	kiuə			不 + 如 + 死 + 之 + 久 + 矣	不 + 如 + 死 + 之 + 久 + 矣	0 0 0 0 1018 0	6
4085	4086	202	蓼莪	202.3	2	無母何a[zjiə]恃。（之部）	無母何恃	恃	202.3a	zjiə	之部		無 + 母 + 何 + 恃	無 + 母 + 何 + 恃	0 0 0 1018	4
4086	4087	202	蓼莪	202.3	1	出則銜b[siuet]恤	出則銜恤	恤	202.3b	siuet			出 + 則 + 銜 + 恤	出 + 則 + 銜 + 恤	0 0 0 1019	4
4087	4088	202	蓼莪	202.3	2	入則靡b[tjiet]至。（质部）	入則靡至	至	202.3b	tjiet	质部		入 + 則 + 靡 + 至	入 + 則 + 靡 + 至	0 0 0 1019	4
4089	4090	202	蓼莪	202.4	2	母兮a[kiuk]鞠我。	母兮鞠我	鞠	202.4a	kiuk			母 + 兮 + 鞠 + 我	母 + 兮 + 鞠 + 我	0 0 1020 0	4
4090	4091	202	蓼莪	202.4	1	拊我a[xiuk]畜我	拊我畜我	畜	202.4a	xiuk			拊 + 我 + 畜 + 我	拊 + 我 + 畜 + 我	0 0 1020 0	4
4091	4092	202	蓼莪	202.4	2	長我a[jiuk]育我。	長我育我	育	202.4a	jiuk			長 + 我 + 育 + 我	長 + 我 + 育 + 我	0 0 1020 0	4
4092	4093	202	蓼莪	202.4	1	顧我a[biuk]復我	顧我復我	復	202.4a	biuk			顧 + 我 + 復 + 我	顧 + 我 + 復 + 我	0 0 1020 0	4
4093	4094	202	蓼莪	202.4	2	出入a[piuk]腹我。（觉部）	出入腹我	腹	202.4a	piuk	觉部		出 + 入 + 腹 + 我	出 + 入 + 腹 + 我	0 0 1020 0	4
4094	4095	202	蓼莪	202.4	1	欲報之b[tək]德	欲報之德	德	202.4b	tək			欲 + 報 + 之 + 德	欲 + 報 + 之 + 德	0 0 0 1021	4
4095	4096	202	蓼莪	202.4	2	昊天罔b[giək]極。（职部）	昊天罔極	極	202.4b	giək	职部		昊 + 天 + 罔 + 極	昊 + 天 + 罔 + 極	0 0 0 1021	4
4096	4097	202	蓼莪	202.5	1	南山烈a[liat]烈	南山烈烈	烈	202.5a	liat			南 + 山 + 烈 + 烈	南 + 山 + 烈 + 烈	0 0 1022 0	4
4097	4098	202	蓼莪	202.5	2	飄風發a[piuat]發。	飄風發發	發	202.5a	piuat			飄 + 風 + 發 + 發	飄 + 風 + 發 + 發	0 0 1022 0	4
4099	4100	202	蓼莪	202.5	2	我獨何a[hat]害。（月部）	我獨何害	害	202.5a	hat	月部		我 + 獨 + 何 + 害	我 + 獨 + 何 + 害	0 0 0 1022	4
4100	4101	202	蓼莪	202.6	1	南山律a[liuət]律	南山律律	律	202.6a	liuət			南 + 山 + 律 + 律	南 + 山 + 律 + 律	0 0 1023 0	4
4101	4102	202	蓼莪	202.6	2	飄風弗a[piuət]弗。	飄風弗弗	弗	202.6a	piuət			飄 + 風 + 弗 + 弗	飄 + 風 + 弗 + 弗	0 0 1023 0	4
4103	4104	202	蓼莪	202.6	2	我獨不a[tziuət]卒。（物部）	我獨不卒	卒	202.6a	tziuət	物部		我 + 獨 + 不 + 卒	我 + 獨 + 不 + 卒	0 0 0 1023	4
4105	4106	203	大東	203.1	2	有捄棘a[piei]匕。	有捄棘匕	匕	203.1a	piei			有 + 捄 + 棘 + 匕	有 + 捄 + 棘 + 匕	0 0 0 1024	4
4106	4107	203	大東	203.1	1	周道如a[tjiei]砥	周道如砥	砥	203.1a	tjiei			周 + 道 + 如 + 砥	周 + 道 + 如 + 砥	0 0 0 1024	4
4107	4108	203	大東	203.1	2	其直如a[sjiei]矢。	其直如矢	矢	203.1a	sjiei			其 + 直 + 如 + 矢	其 + 直 + 如 + 矢	0 0 0 1024	4
4108	4109	203	大東	203.1	1	君子所a[liei]履	君子所履	履	203.1a	liei			君 + 子 + 所 + 履	君 + 子 + 所 + 履	0 0 0 1024	4
4109	4110	203	大東	203.1	2	小人所a[zjiei]視。	小人所視	視	203.1a	zjiei			小 + 人 + 所 + 視	小 + 人 + 所 + 視	0 0 0 1024	4
4111	4112	203	大東	203.1	2	潸焉出a[thyei]涕。（脂部）	潸焉出涕	涕	203.1a	thyei	脂部		潸 + 焉 + 出 + 涕	潸 + 焉 + 出 + 涕	0 0 0 1024	4
4112	4113	203	大東	203.2	1	小東大a[tong]東	小東大東	東	203.2a	tong			小 + 東 + 大 + 東	小 + 東 + 大 + 東	0 1025 0 0	4
4113	4114	203	大東	203.2	2	杼柚其a[khong]空。（东部）	杼柚其空	空	203.2a	khong	东部		杼 + 柚 + 其 + 空	杼 + 柚 + 其 + 空	0 0 0 1025	4
4115	4116	203	大東	203.2	2	可以履b[shiang]霜。	可以履霜	霜	203.2b	shiang			可 + 以 + 履 + 霜	可 + 以 + 履 + 霜	0 0 0 1026	4
4117	4118	203	大東	203.2	2	行彼周b[heang]行。（阳部）	行彼周行	行	203.2b	heang	阳部		行 + 彼 + 周 + 行	行 + 彼 + 周 + 行	1026 0 0 0	4
4118	4119	203	大東	203.2	1	既往既c[lə]來	既往既來	來	203.2c	lə			既 + 往 + 既 + 來	既 + 往 + 既 + 來	0 0 0 1027	4
4119	4120	203	大東	203.2	2	使我心c[kiuə]疚。（之部）	使我心疚	疚	203.2c	kiuə	之部		使 + 我 + 心 + 疚	使 + 我 + 心 + 疚	0 0 0 1027	4
4120	4121	203	大東	203.3	1	有冽氿a[dziuan]泉	有冽氿泉	泉	203.3a	dziuan			有 + 冽 + 氿 + 泉	有 + 冽 + 氿 + 泉	0 0 0 1028	4
4121	4122	203	大東	203.3	2	 無浸穫b[sien]薪。（a= 元部）	無浸穫薪	薪	203.3b	sien	a=元部		無 + 浸 + 穫 + 薪	無 + 浸 + 穫 + 薪	0 0 0 1029	4
4122	4123	203	大東	203.3	1	契契寤a[than]歎	契契寤歎	歎	203.3a	than			契 + 契 + 寤 + 歎	契 + 契 + 寤 + 歎	0 0 0 1028	4
4123	4124	203	大東	203.3	2	哀我憚b[njien]人。（b= 真部）	哀我憚人	人	203.3b	njien	b=真部		哀 + 我 + 憚 + 人	哀 + 我 + 憚 + 人	0 0 0 1029	4
4124	4125	203	大東	203.3	1	薪是穫b[sien]薪	薪是穫薪	薪	203.3b	sien			薪 + 是 + 穫 + 薪	薪 + 是 + 穫 + 薪	1029 0 0 0	4
4125	4126	203	大東	203.3	2	尚可c[tzə]載也。（c= 之职通韵）	尚可載也	載	203.3c	tzə	c=之职通韵		尚 + 可 + 載 + 也	尚 + 可 + 載 + 也	0 0 1030 0	4
4126	4127	203	大東	203.3	1	哀我憚b[njien]人	哀我憚人	人	203.3b	njien			哀 + 我 + 憚 + 人	哀 + 我 + 憚 + 人	0 0 0 1029	4
4127	4128	203	大東	203.3	2	亦可c[siək]息也。	亦可息也	息	203.3c	siək			亦 + 可 + 息 + 也	亦 + 可 + 息 + 也	0 0 1030 0	4
4129	4130	203	大東	203.4	2	職勞不a[lə]來。	職勞不來	來	203.4a	lə			職 + 勞 + 不 + 來	職 + 勞 + 不 + 來	0 0 0 1031	4
4131	4132	203	大東	203.4	2	粲粲衣b[biuək]服。	粲粲衣服	服	203.4b	biuək			粲 + 粲 + 衣 + 服	粲 + 粲 + 衣 + 服	0 0 0 1032	4
4133	4134	203	大東	203.4	2	熊羆是a[giuə]裘。（之部）	熊羆是裘	裘	203.4a	giuə	之部		熊 + 羆 + 是 + 裘	熊 + 羆 + 是 + 裘	0 0 0 1031	4
4135	4136	203	大東	203.4	2	百僚是b[sjiək]試。（职部）	百僚是試	試	203.4b	sjiək	职部		百 + 僚 + 是 + 試	百 + 僚 + 是 + 試	0 0 0 1032	4
4137	4138	203	大東	203.5	2	不以其a[tziang]漿。	不以其漿	漿	203.5a	tziang			不 + 以 + 其 + 漿	不 + 以 + 其 + 漿	0 0 0 1033	4
4139	4140	203	大東	203.5	2	不以其a[diang]長。	不以其長	長	203.5a	diang			不 + 以 + 其 + 長	不 + 以 + 其 + 長	0 0 0 1033	4
4141	4142	203	大東	203.5	2	監亦有a[kuang]光。	監亦有光	光	203.5a	kuang			監 + 亦 + 有 + 光	監 + 亦 + 有 + 光	0 0 0 1033	4
4143	4144	203	大東	203.5	2	終日七a[siang]襄。（阳部）	終日七襄	襄	203.5a	siang	阳部		終 + 日 + 七 + 襄	終 + 日 + 七 + 襄	0 0 0 1033	4
4144	4145	203	大東	203.6	1	雖則七a[siang]襄	雖則七襄	襄	203.6a	siang			雖 + 則 + 七 + 襄	雖 + 則 + 七 + 襄	0 0 0 1034	4
4145	4146	203	大東	203.6	2	不成報a[tjiang]章。	不成報章	章	203.6a	tjiang			不 + 成 + 報 + 章	不 + 成 + 報 + 章	0 0 0 1034	4
4147	4148	203	大東	203.6	2	不以服a[siang]箱。	不以服箱	箱	203.6a	siang			不 + 以 + 服 + 箱	不 + 以 + 服 + 箱	0 0 0 1034	4
4148	4149	203	大東	203.6	1	東有啟a[myang]明	東有啟明	明	203.6a	myang			東 + 有 + 啟 + 明	東 + 有 + 啟 + 明	0 0 0 1034	4
4149	4150	203	大東	203.6	2	西有長a[keang]庚。	西有長庚	庚	203.6a	keang			西 + 有 + 長 + 庚	西 + 有 + 長 + 庚	0 0 0 1034	4
4151	4152	203	大東	203.6	2	載施之a[heang]行。（阳部）	載施之行	行	203.6a	heang	阳部		載 + 施 + 之 + 行	載 + 施 + 之 + 行	0 0 0 1034	4
4153	4154	203	大東	203.7	2	不可以簸a[jiang]揚。	不可以簸揚	揚	203.7a	jiang			不 + 可 + 以 + 簸 + 揚	不 + 可 + 以 + 簸 + 揚	0 0 0 0 1035	5
4155	4156	203	大東	203.7	2	不可以挹酒a[tziang]漿。（阳部）	不可以挹酒漿	漿	203.7a	tziang	阳部		不 + 可 + 以 + 挹 + 酒 + 漿	不 + 可 + 以 + 挹 + 酒 + 漿	0 0 0 0 0 1035	6
4157	4158	203	大東	203.7	2	載翕其b[djiat]舌。	載翕其舌	舌	203.7b	djiat			載 + 翕 + 其 + 舌	載 + 翕 + 其 + 舌	0 0 0 1036	4
4159	4160	203	大東	203.7	2	西柄之b[kiat]揭。（月部）	西柄之揭	揭	203.7b	kiat	月部		西 + 柄 + 之 + 揭	西 + 柄 + 之 + 揭	0 0 0 1036	4
4160	4161	204	四月	204.1	1	四月維a[hea]夏	四月維夏	夏	204.1a	hea			四 + 月 + 維 + 夏	四 + 月 + 維 + 夏	0 0 0 1037	4
4161	4162	204	四月	204.1	2	六月徂a[sjia]暑。	六月徂暑	暑	204.1a	sjia			六 + 月 + 徂 + 暑	六 + 月 + 徂 + 暑	0 0 0 1037	4
4163	4164	204	四月	204.1	2	胡寧忍a[jia]予。（鱼部）	胡寧忍予	予	204.1a	jia	鱼部		胡 + 寧 + 忍 + 予	胡 + 寧 + 忍 + 予	0 0 0 1037	4
4164	4165	204	四月	204.2	1	秋日淒a[tsyei]淒	秋日淒淒	淒	204.2a	tsyei			秋 + 日 + 淒 + 淒	秋 + 日 + 淒 + 淒	0 0 1038 0	4
4165	4166	204	四月	204.2	2	百卉具a[biuəi]腓。	百卉具腓	腓	204.2a	biuəi			百 + 卉 + 具 + 腓	百 + 卉 + 具 + 腓	0 0 0 1038	4
4167	4168	204	四月	204.2	2	爰其適a[kiuəi]歸。（脂微合韵）	爰其適歸	歸	204.2a	kiuəi	脂微合韵		爰 + 其 + 適 + 歸	爰 + 其 + 適 + 歸	0 0 0 1038	4
4168	4169	204	四月	204.3	1	冬日烈a[liat]烈	冬日烈烈	烈	204.3a	liat			冬 + 日 + 烈 + 烈	冬 + 日 + 烈 + 烈	0 0 1039 0	4
4169	4170	204	四月	204.3	2	飄風發a[piuat]發。	飄風發發	發	204.3a	piuat			飄 + 風 + 發 + 發	飄 + 風 + 發 + 發	0 0 1039 0	4
4171	4172	204	四月	204.3	2	我獨何a[hat]害。（月部）	我獨何害	害	204.3a	hat	月部		我 + 獨 + 何 + 害	我 + 獨 + 何 + 害	0 0 0 1039	4
4173	4174	204	四月	204.4	2	侯栗侯a[muə]梅。	侯栗侯梅	梅	204.4a	muə			侯 + 栗 + 侯 + 梅	侯 + 栗 + 侯 + 梅	0 0 0 1040	4
4175	4176	204	四月	204.4	2	莫知其a[hiuə]尤。（之部）	莫知其尤	尤	204.4a	hiuə	之部		莫 + 知 + 其 + 尤	莫 + 知 + 其 + 尤	0 0 0 1040	4
4177	4178	204	四月	204.5	2	載清載a[deok]濁。	載清載濁	濁	204.5a	deok			載 + 清 + 載 + 濁	載 + 清 + 載 + 濁	0 0 0 1041	4
4179	4180	204	四月	204.5	2	曷云能a[kok]穀。（屋部）	曷云能穀	穀	204.5a	kok	屋部		曷 + 云 + 能 + 穀	曷 + 云 + 能 + 穀	0 0 0 1041	4
4181	4182	204	四月	204.6	2	南國之a[kiə]紀。	南國之紀	紀	204.6a	kiə			南 + 國 + 之 + 紀	南 + 國 + 之 + 紀	0 0 0 1042	4
4182	4183	204	四月	204.6	1	盡瘁以a[dzhiə]仕	盡瘁以仕	仕	204.6a	dzhiə			盡 + 瘁 + 以 + 仕	盡 + 瘁 + 以 + 仕	0 0 0 1042	4
4183	4184	204	四月	204.6	2	寧莫我a[hiuə]有。（之部）	寧莫我有	有	204.6a	hiuə	之部		寧 + 莫 + 我 + 有	寧 + 莫 + 我 + 有	0 0 0 1042	4
4185	4186	204	四月	204.7	2	翰飛戾a[tyen]天。	翰飛戾天	天	204.7a	tyen			翰 + 飛 + 戾 + 天	翰 + 飛 + 戾 + 天	0 0 0 1043	4
4187	4188	204	四月	204.7	2	潛逃于a[yuen]淵。（真部）	潛逃于淵	淵	204.7a	yuen	真部		潛 + 逃 + 于 + 淵	潛 + 逃 + 于 + 淵	0 0 0 1043	4
4188	4189	204	四月	204.8	1	山有蕨a[miuəi]薇	山有蕨薇	薇	204.8a	miuəi			山 + 有 + 蕨 + 薇	山 + 有 + 蕨 + 薇	0 0 0 1044	4
4189	4190	204	四月	204.8	2	隰有杞a[jiei]桋。	隰有杞桋	桋	204.8a	jiei			隰 + 有 + 杞 + 桋	隰 + 有 + 杞 + 桋	0 0 0 1044	4
4191	4192	204	四月	204.8	2	維以告a[əi]哀。（微脂合韵）	維以告哀	哀	204.8a	əi	微脂合韵		維 + 以 + 告 + 哀	維 + 以 + 告 + 哀	0 0 0 1044	4
4194	4195	205	北山	205.1	2	言采其a[khiə]杞。	言采其杞	杞	205.1a	khiə			言 + 采 + 其 + 杞	言 + 采 + 其 + 杞	0 0 0 1045	4
4195	4196	205	北山	205.1	1	偕偕士a[tziə]子	偕偕士子	子	205.1a	tziə			偕 + 偕 + 士 + 子	偕 + 偕 + 士 + 子	0 0 0 1045	4
4196	4197	205	北山	205.1	2	朝夕從a[dzhiə]事。	朝夕從事	事	205.1a	dzhiə			朝 + 夕 + 從 + 事	朝 + 夕 + 從 + 事	0 0 0 1045	4
4198	4199	205	北山	205.1	2	憂我父a[mə]母。（之部）	憂我父母	母	205.1a	mə	之部		憂 + 我 + 父 + 母	憂 + 我 + 父 + 母	0 0 0 1045	4
4199	4200	205	北山	205.2	1	溥天之a[hea]下	溥天之下	下	205.2a	hea			溥 + 天 + 之 + 下	溥 + 天 + 之 + 下	0 0 0 1046	4
4200	4201	205	北山	205.2	2	莫非王a[tha]土。（鱼部）	莫非王土	土	205.2a	tha	鱼部		莫 + 非 + 王 + 土	莫 + 非 + 王 + 土	0 0 0 1046	4
4201	4202	205	北山	205.2	1	率土之b[pien]濱	率土之濱	濱	205.2b	pien			率 + 土 + 之 + 濱	率 + 土 + 之 + 濱	0 0 0 1047	4
4202	4203	205	北山	205.2	2	莫非王b[zjien]臣。	莫非王臣	臣	205.2b	zjien			莫 + 非 + 王 + 臣	莫 + 非 + 王 + 臣	0 0 0 1047	4
4203	4204	205	北山	205.2	1	大夫不b[kiuen]均	大夫不均	均	205.2b	kiuen			大 + 夫 + 不 + 均	大 + 夫 + 不 + 均	0 0 0 1047	4
4204	4205	205	北山	205.2	2	我從事獨b[hyen]賢。（真部）	我從事獨賢	賢	205.2b	hyen	真部		我 + 從 + 事 + 獨 + 賢	我 + 從 + 事 + 獨 + 賢	0 0 0 0 1047	5
4205	4206	205	北山	205.3	1	四牡彭a[beang]彭	四牡彭彭	彭	205.3a	beang			四 + 牡 + 彭 + 彭	四 + 牡 + 彭 + 彭	0 0 1048 0	4
4206	4207	205	北山	205.3	2	王事傍a[bang]傍。	王事傍傍	傍	205.3a	bang			王 + 事 + 傍 + 傍	王 + 事 + 傍 + 傍	0 0 1048 0	4
4208	4209	205	北山	205.3	2	鮮我方a[tziang]將。	鮮我方將	將	205.3a	tziang			鮮 + 我 + 方 + 將	鮮 + 我 + 方 + 將	0 0 0 1048	4
4209	4210	205	北山	205.3	1	旅力方a[kang]剛	旅力方剛	剛	205.3a	kang			旅 + 力 + 方 + 剛	旅 + 力 + 方 + 剛	0 0 0 1048	4
4210	4211	205	北山	205.3	2	經營四a[piuang]方。（阳部）	經營四方	方	205.3a	piuang	阳部		經 + 營 + 四 + 方	經 + 營 + 四 + 方	0 0 0 1048	4
4211	4212	205	北山	205.4	1	或燕燕居a[siək]息	或燕燕居息	息	205.4a	siək			或 + 燕 + 燕 + 居 + 息	或 + 燕 + 燕 + 居 + 息	0 0 0 0 1049	5
4212	4213	205	北山	205.4	2	或盡瘁事a[kuək]國。（职部）	或盡瘁事國	國	205.4a	kuək	职部		或 + 盡 + 瘁 + 事 + 國	或 + 盡 + 瘁 + 事 + 國	0 0 0 0 1049	5
4213	4214	205	北山	205.4	1	或息偃在b[dzhiang]床	或息偃在床	床	205.4b	dzhiang			或 + 息 + 偃 + 在 + 床	或 + 息 + 偃 + 在 + 床	0 0 0 0 1050	5
4214	4215	205	北山	205.4	2	或不已于b[heang]行。（阳部）	或不已于行	行	205.4b	heang	阳部		或 + 不 + 已 + 于 + 行	或 + 不 + 已 + 于 + 行	0 0 0 0 1050	5
4215	4216	205	北山	205.5	1	或不知叫a[hô]號	或不知叫號	號	205.5a	hô			或 + 不 + 知 + 叫 + 號	或 + 不 + 知 + 叫 + 號	0 0 0 0 1051	5
4216	4217	205	北山	205.5	2	或慘慘劬a[lô]勞。（宵部）	或慘慘劬勞	勞	205.5a	lô	宵部		或 + 慘 + 慘 + 劬 + 勞	或 + 慘 + 慘 + 劬 + 勞	0 0 0 0 1051	5
4217	4218	205	北山	205.5	1	或棲遲偃b[ngiang]仰	或棲遲偃仰	仰	205.5b	ngiang			或 + 棲 + 遲 + 偃 + 仰	或 + 棲 + 遲 + 偃 + 仰	0 0 0 0 1052	5
4218	4219	205	北山	205.5	2	或王事鞅b[tjiang]掌。（阳部）	或王事鞅掌	掌	205.5b	tjiang	阳部		或 + 王 + 事 + 鞅 + 掌	或 + 王 + 事 + 鞅 + 掌	0 0 0 0 1052	5
4219	4220	205	北山	205.6	1	或湛樂飲a[tziu]酒	或湛樂飲酒	酒	205.6a	tziu			或 + 湛 + 樂 + 飲 + 酒	或 + 湛 + 樂 + 飲 + 酒	0 0 0 0 1053	5
4220	4221	205	北山	205.6	2	或慘慘畏a[giu]咎。（幽部）	或慘慘畏咎	咎	205.6a	giu	幽部		或 + 慘 + 慘 + 畏 + 咎	或 + 慘 + 慘 + 畏 + 咎	0 0 0 0 1053	5
4221	4222	205	北山	205.6	1	或出入風b[ngiai]議	或出入風議	議	205.6b	ngiai			或 + 出 + 入 + 風 + 議	或 + 出 + 入 + 風 + 議	0 0 0 0 1054	5
4222	4223	205	北山	205.6	2	或靡事不b[hiuai]為。（歌部）	或靡事不為	為	205.6b	hiuai	歌部		或 + 靡 + 事 + 不 + 為	或 + 靡 + 事 + 不 + 為	0 0 0 0 1054	5
4224	4225	206	無將大車	206.1	2	祇自a[dien]塵兮。	祇自塵兮	塵	206.1a	dien			祇 + 自 + 塵 + 兮	祇 + 自 + 塵 + 兮	0 0 1055 0	4
4226	4227	206	無將大車	206.1	2	祇自a[gie]疧兮。（真支合韵）	祇自疧兮	疧	206.1a	gie	真支合韵		祇 + 自 + 疧 + 兮	祇 + 自 + 疧 + 兮	0 0 1055 0	4
4228	4229	206	無將大車	206.2	2	維塵冥a[myeng]冥。	維塵冥冥	冥	206.2a	myeng			維 + 塵 + 冥 + 冥	維 + 塵 + 冥 + 冥	0 0 1056 0	4
4230	4231	206	無將大車	206.2	2	不出于a[jiueng]熲。（耕部）	不出于熲	熲	206.2a	jiueng	耕部		不 + 出 + 于 + 熲	不 + 出 + 于 + 熲	0 0 0 1056	4
4232	4233	206	無將大車	206.3	2	維塵a[iong]雝兮。	維塵雝兮	雝	206.3a	iong			維 + 塵 + 雝 + 兮	維 + 塵 + 雝 + 兮	0 0 1057 0	4
4234	4235	206	無將大車	206.3	2	祇自a[diong]重兮。（东部）	祇自重兮	重	206.3a	diong	东部		祇 + 自 + 重 + 兮	祇 + 自 + 重 + 兮	0 0 1057 0	4
4236	4237	207	小明	207.1	2	照臨下a[tha]土。	照臨下土	土	207.1a	tha			照 + 臨 + 下 + 土	照 + 臨 + 下 + 土	0 0 0 1058	4
4238	4239	207	小明	207.1	2	至于艽a[jya]野。	至于艽野	野	207.1a	jya			至 + 于 + 艽 + 野	至 + 于 + 艽 + 野	0 0 0 1058	4
4240	4241	207	小明	207.1	2	載離寒a[sjia]暑。	載離寒暑	暑	207.1a	sjia			載 + 離 + 寒 + 暑	載 + 離 + 寒 + 暑	0 0 0 1058	4
4242	4243	207	小明	207.1	2	其毒大a[kha]苦。	其毒大苦	苦	207.1a	kha			其 + 毒 + 大 + 苦	其 + 毒 + 大 + 苦	0 0 0 1058	4
4244	4245	207	小明	207.1	2	涕零如a[hiua]雨。	涕零如雨	雨	207.1a	hiua			涕 + 零 + 如 + 雨	涕 + 零 + 如 + 雨	0 0 0 1058	4
4246	4247	207	小明	207.1	2	畏此罪a[ka]罟。（鱼部）	畏此罪罟	罟	207.1a	ka	鱼部		畏 + 此 + 罪 + 罟	畏 + 此 + 罪 + 罟	0 0 0 1058	4
4248	4249	207	小明	207.2	2	日月方a[dia]除。	日月方除	除	207.2a	dia			日 + 月 + 方 + 除	日 + 月 + 方 + 除	0 0 0 1059	4
4250	4251	207	小明	207.2	2	歲聿云a[mak]莫。	歲聿云莫	莫	207.2a	mak			歲 + 聿 + 云 + 莫	歲 + 聿 + 云 + 莫	0 0 0 1059	4
4252	4253	207	小明	207.2	2	我事孔a[sjiak]庶。	我事孔庶	庶	207.2a	sjiak			我 + 事 + 孔 + 庶	我 + 事 + 孔 + 庶	0 0 0 1059	4
4254	4255	207	小明	207.2	2	憚我不a[hea]暇。	憚我不暇	暇	207.2a	hea			憚 + 我 + 不 + 暇	憚 + 我 + 不 + 暇	0 0 0 1059	4
4256	4257	207	小明	207.2	2	睠睠懷a[ka]顧。	睠睠懷顧	顧	207.2a	ka			睠 + 睠 + 懷 + 顧	睠 + 睠 + 懷 + 顧	0 0 0 1059	4
